Iteration,Mean Reward,Std Reward
1,-79.51294655904493,0.0
2,-80.19265521899123,1.4210854715202004e-14
3,-78.12159270557348,0.0
4,-77.28859939535764,1.4210854715202004e-14
5,-76.8521772919836,0.0
6,-76.90325087680321,0.0
7,-76.67151471233697,1.4210854715202004e-14
8,-76.70410609211412,0.0
9,-77.91701143761684,1.4210854715202004e-14
