Iteration,Mean Reward,Std Reward
1,-54.779420464097214,0.0
2,-55.510916619512,0.0
3,-54.84034173444711,0.0
4,-54.137236694032296,0.0
5,-54.28933362812349,7.105427357601002e-15
6,-54.48880359913458,7.105427357601002e-15
7,-54.44458790575609,0.0
8,-54.16641552414984,0.0
9,-54.24336530404347,0.0
