Iteration,Mean Reward,Std Reward
1,-84.4810552809125,1.4210854715202004e-14
2,-84.78567598258476,1.4210854715202004e-14
3,-81.81802218873284,1.4210854715202004e-14
4,-82.60254168215043,0.0
5,-83.94442504590346,0.0
6,-82.50276535640978,0.0
7,-81.87172745103081,0.0
8,-74.70259741147153,0.0
9,-74.69544978732606,1.4210854715202004e-14
